iter	Passed	Remaining
0	0	74
1	1	83
2	2	78
3	3	76
4	4	76
5	4	74
6	5	76
7	7	81
8	9	91
9	11	103
10	12	99
11	13	99
12	15	101
13	16	101
14	18	102
15	20	105
16	21	102
17	21	99
18	22	96
19	23	92
20	23	89
21	24	86
22	25	84
23	25	82
24	26	80
25	27	77
26	28	75
27	28	74
28	29	72
29	30	71
30	31	70
31	32	69
32	33	67
33	33	65
34	34	64
35	35	62
36	36	61
37	36	60
38	37	59
39	38	57
40	39	56
41	40	55
42	40	54
43	41	52
44	41	51
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	45
51	47	43
52	48	42
53	49	42
54	50	40
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	20
76	66	19
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
