iter	Passed	Remaining
0	1	1528
1	2	1097
2	2	939
3	3	875
4	4	925
5	5	880
6	5	844
7	6	818
8	7	794
9	7	781
10	8	763
11	9	750
12	9	743
13	11	787
14	11	779
15	12	773
16	13	770
17	13	763
18	14	754
19	15	749
20	15	742
21	16	745
22	17	739
23	18	734
24	18	731
25	19	729
26	20	724
27	20	720
28	21	720
29	22	717
30	23	723
31	23	718
32	24	715
33	25	715
34	25	711
35	26	707
36	27	705
37	27	706
38	28	703
39	29	700
40	29	697
41	30	694
42	31	695
43	32	697
44	32	696
45	33	693
46	34	690
47	34	687
48	35	686
49	36	684
50	36	681
51	37	678
52	37	676
53	39	700
54	41	713
55	42	711
56	44	731
57	44	729
58	45	727
59	46	725
60	47	723
61	47	720
62	48	719
63	48	716
64	49	714
65	50	711
66	50	709
67	53	737
68	56	756
69	57	768
70	58	765
71	59	762
72	59	758
73	62	781
74	63	780
75	64	779
76	68	816
77	68	813
78	71	828
79	71	824
80	75	854
81	77	869
82	77	861
83	81	890
84	82	889
85	88	943
86	90	953
87	91	948
88	92	943
89	92	940
90	93	935
91	94	932
92	95	927
93	95	922
94	96	918
95	96	913
96	106	991
97	110	1017
98	111	1015
99	112	1013
100	122	1091
101	125	1104
102	127	1106
103	127	1100
104	128	1093
105	129	1091
106	130	1084
107	130	1077
108	131	1073
109	131	1067
110	132	1061
111	133	1059
112	134	1054
113	134	1049
114	135	1043
115	136	1038
116	136	1032
117	137	1026
118	137	1021
119	138	1015
120	139	1010
121	139	1004
122	140	1002
123	141	998
124	141	993
125	142	989
126	143	983
127	143	978
128	144	974
129	144	970
130	145	965
131	148	974
132	149	972
133	150	969
134	150	966
135	151	962
136	152	959
137	153	955
138	153	950
139	154	946
140	154	941
141	154	935
142	155	930
143	155	926
144	156	921
145	156	916
146	157	911
147	157	907
148	158	903
149	158	899
150	159	897
151	160	894
152	160	890
153	161	887
154	162	884
155	162	881
156	163	879
157	164	876
158	165	873
159	165	870
160	166	866
161	166	863
162	167	860
163	168	857
164	168	855
165	169	851
166	170	848
167	170	845
168	171	842
169	172	841
170	173	839
171	173	836
172	174	833
173	174	830
174	175	827
175	180	846
176	181	843
177	182	840
178	182	838
179	183	835
180	184	833
181	184	830
182	185	827
183	185	824
184	186	821
185	187	819
186	187	816
187	188	815
188	189	812
189	189	809
190	190	807
191	191	804
192	192	803
193	192	801
194	193	799
195	194	797
196	194	794
197	195	792
198	196	789
199	196	787
200	197	784
201	198	783
202	199	781
203	199	778
204	200	776
205	200	773
206	201	771
207	201	769
208	202	766
209	203	765
210	204	763
211	204	760
212	205	758
213	205	755
214	207	758
215	208	757
216	209	754
217	209	753
218	210	751
219	211	749
220	211	746
221	214	750
222	214	748
223	215	745
224	215	743
225	216	741
226	217	740
227	218	738
228	218	736
229	219	734
230	219	732
231	220	730
232	221	728
233	222	727
234	222	725
235	223	723
236	224	722
237	224	720
238	225	718
239	226	717
240	227	716
241	228	715
242	229	713
243	229	712
244	230	710
245	231	708
246	231	705
247	232	703
248	232	702
249	233	700
250	233	698
251	234	696
252	235	694
253	235	692
254	236	690
255	237	690
256	238	689
257	239	687
258	239	686
259	240	684
260	241	682
261	241	681
262	242	679
263	243	677
264	243	676
265	244	674
266	245	673
267	245	671
268	246	670
269	247	668
270	248	667
271	248	665
272	249	664
273	249	662
274	250	660
275	251	658
276	252	658
277	252	657
278	253	655
279	254	654
280	255	652
281	255	651
282	256	650
283	257	648
284	257	646
285	258	645
286	259	643
287	259	642
288	260	640
289	261	639
290	261	637
291	262	636
292	263	634
293	263	633
294	264	631
295	264	630
296	265	629
297	267	631
298	268	630
299	269	629
300	271	630
301	272	628
302	272	627
303	273	625
304	273	624
305	274	622
306	275	621
307	276	620
308	276	619
309	277	617
310	278	616
311	278	614
312	279	613
313	279	611
314	280	610
315	284	614
316	287	618
317	288	619
318	289	617
319	289	615
320	291	616
321	292	615
322	292	614
323	293	612
324	294	610
325	294	608
326	295	607
327	295	605
328	296	603
329	296	601
330	296	600
331	298	599
332	298	598
333	299	597
334	300	596
335	301	595
336	301	593
337	302	592
338	302	590
339	303	589
340	304	587
341	305	586
342	305	585
343	306	584
344	306	582
345	307	581
346	308	580
347	308	578
348	309	577
349	310	575
350	310	574
351	311	573
352	311	571
353	312	570
354	313	569
355	315	571
356	316	570
357	317	569
358	317	567
359	318	566
360	319	565
361	319	563
362	320	562
363	321	561
364	321	559
365	322	558
366	322	556
367	323	555
368	324	554
369	325	553
370	325	552
371	326	550
372	326	549
373	327	548
374	328	547
375	329	546
376	330	545
377	330	544
378	331	543
379	332	541
380	332	540
381	333	539
382	334	538
383	334	537
384	335	535
385	336	534
386	336	533
387	337	531
388	337	530
389	338	529
390	339	528
391	339	526
392	340	525
393	340	524
394	341	523
395	342	521
396	344	522
397	344	521
398	345	520
399	346	519
400	346	518
401	347	516
402	348	515
403	348	514
404	349	513
405	349	511
406	350	510
407	351	509
408	351	508
409	352	506
410	352	505
411	353	504
412	354	503
413	354	502
414	355	501
415	356	499
416	356	498
417	357	497
418	360	499
419	361	498
420	362	497
421	362	496
422	363	495
423	363	494
424	364	492
425	364	491
426	365	490
427	365	488
428	366	487
429	366	486
430	367	484
431	367	483
432	368	482
433	369	481
434	369	480
435	370	478
436	370	477
437	371	476
438	372	475
439	372	474
440	373	473
441	374	472
442	375	471
443	375	470
444	376	469
445	377	468
446	378	467
447	378	466
448	379	465
449	379	464
450	380	463
451	381	462
452	381	460
453	382	460
454	383	459
455	383	458
456	384	456
457	385	455
458	386	455
459	387	454
460	388	453
461	389	453
462	389	452
463	390	451
464	391	450
465	392	449
466	392	448
467	393	447
468	393	446
469	394	444
470	395	443
471	395	442
472	396	441
473	396	440
474	397	439
475	398	438
476	398	437
477	399	436
478	399	434
479	400	433
480	401	432
481	401	431
482	402	430
483	403	429
484	404	429
485	404	428
486	405	427
487	406	426
488	406	425
489	407	424
490	408	423
491	408	422
492	409	421
493	410	420
494	410	419
495	411	418
496	412	417
497	412	416
498	413	415
499	413	413
500	414	412
501	415	411
502	415	410
503	416	409
504	416	408
505	417	407
506	418	406
507	419	405
508	420	405
509	421	405
510	422	403
511	422	402
512	423	401
513	423	400
514	424	399
515	425	398
516	425	397
517	426	396
518	426	395
519	427	394
520	427	393
521	428	392
522	429	391
523	429	390
524	431	390
525	434	391
526	435	390
527	436	389
528	436	389
529	437	388
530	438	387
531	438	386
532	439	385
533	440	384
534	441	383
535	441	382
536	442	381
537	443	380
538	443	379
539	444	378
540	444	377
541	445	376
542	446	375
543	446	374
544	447	373
545	447	372
546	448	371
547	450	371
548	450	370
549	451	369
550	452	368
551	452	367
552	453	366
553	454	366
554	455	365
555	455	364
556	456	363
557	457	362
558	457	361
559	458	360
560	458	359
561	459	358
562	460	357
563	461	356
564	461	355
565	462	354
566	463	353
567	464	353
568	465	352
569	465	351
570	466	350
571	467	349
572	467	348
573	468	347
574	469	347
575	470	346
576	470	345
577	471	344
578	472	343
579	472	342
580	473	341
581	474	340
582	474	339
583	475	338
584	476	337
585	476	336
586	477	335
587	478	334
588	480	335
589	481	334
590	481	333
591	482	332
592	483	331
593	484	331
594	484	330
595	485	329
596	486	328
597	486	327
598	487	326
599	487	325
600	489	324
601	489	323
602	490	322
603	491	321
604	491	320
605	492	320
606	492	319
607	495	319
608	495	318
609	496	317
610	497	316
611	498	316
612	499	315
613	499	314
614	500	313
615	500	312
616	501	311
617	502	310
618	502	309
619	503	308
620	503	307
621	504	306
622	505	305
623	505	304
624	506	303
625	506	302
626	507	301
